datetime,NVDA_Open,NVDA_High,NVDA_Low,NVDA_Close,NVDA_Volume,NVDA_sma50,NVDA_sma200,NVDA_sma300,NVDA_ema8,NVDA_ema20,NVDA_ema50,NVDA_rsi,NVDA_macd,NVDA_stoch,NVDA_stochrsi,NVDA_vwap,NVDA_bb_hband,NVDA_bb_mavg,NVDA_bb_lband,NVDA_atr,NVDA_roc,NVDA_obv,NVDA_adi
2015-03-12 00:00:00,5.46,5.5,5.36,5.47,40697200,5.0414,4.6873499999999995,4.517233333333333,5.46167263313203,5.351449574675201,5.1409621610952385,61.253333797135376,-0.13026700869371854,54.54545454545445,0.023121175973956198,5.437140442243929,5.5370142849856085,5.397,5.256985715014392,0.1131123869234456,1.672862453531596,778668000,238233430.6753283
2015-03-13 00:00:00,5.44,5.49,5.36,5.47,35928800,5.053,4.6921,4.523000000000001,5.4635231591026905,5.362740091372801,5.15386560575817,61.253333797135376,-0.12396477701751163,54.54545454545445,0.023121175973956198,5.441227172169437,5.544890308659091,5.4025,5.260109691340909,0.11431864500034232,2.4344569288389493,814596800,263107215.29071265
2015-03-16 00:00:00,5.52,5.57,5.48,5.54,23695600,5.0676,4.6972499999999995,4.529133333333333,5.480518012635426,5.379621987432535,5.169008131022555,64.58185511463023,-0.12319847268979967,75.0,0.4722455865935233,5.450548902496224,5.564375766555827,5.4115,5.2586242334441735,0.11329588464317505,3.5514018691588856,838292400,271005748.62404585
2015-03-17 00:00:00,5.53,5.61,5.49,5.6,29990000,5.083,4.70265,4.535299999999999,5.50706956538311,5.400610369581817,5.18590977294324,67.18405031915677,-0.12598044539384556,93.74999999999986,0.8233652809176237,5.462899955217012,5.595058129712118,5.423,5.250941870287882,0.11377475002580541,5.26315789473683,868282400,295997415.2907122
2015-03-18 00:00:00,5.6,5.63,5.46,5.51,41384400,5.0982,4.70765,4.540966666666667,5.507720773075752,5.411028429621645,5.198619193612132,60.056357238547434,-0.11954489186688555,63.63636363636361,0.0,5.474190628743196,5.600821333566482,5.433,5.265178666433518,0.11779083930967645,1.1009174311926533,826898000,278956779.9965944
2015-03-19 00:00:00,5.53,5.62,5.49,5.6,31075600,5.118,4.7132,4.5467666666666675,5.528227267947807,5.429025722038631,5.2143596173920495,64.15208763008786,-0.12031994375468713,90.90909090909084,0.4854626648268641,5.486615175610835,5.6222583568426625,5.4464999999999995,5.270741643157336,0.11866292221612813,4.672897196261683,857973600,300470656.9196711
2015-03-20 00:00:00,5.64,5.69,5.59,5.66,46208400,5.1392,4.719049999999999,4.553233333333333,5.55751009729274,5.451023272320667,5.231835710827656,66.61014307210391,-0.12434233547584572,92.1052631578947,0.8871699658629854,5.508332411458221,5.655435556306814,5.461499999999999,5.2675644436931846,0.1173298563435476,4.621072088724584,904182000,318954016.91967106
2015-03-23 00:00:00,5.49,5.56,5.47,5.47,42601200,5.153199999999999,4.72385,4.5591,5.538063409005464,5.4528305797186984,5.24117548687363,53.986139434922244,-0.1109200801522432,42.10526315789469,0.0,5.512267316040172,5.651745724984291,5.469,5.286254275015709,0.12252058089043709,-0.7259528130671513,861580800,276352816.91967106
2015-03-24 00:00:00,5.46,5.5,5.38,5.4,33048000,5.1654,4.7282,4.565033333333333,5.507382651448695,5.447799095935966,5.247403899153096,50.21058166799131,-0.09355597606506283,12.12121212121213,0.0,5.512621605497065,5.650997237548074,5.47,5.289002762451926,0.12234053939826302,-0.7352941176470594,828532800,254320816.9196713
2015-03-25 00:00:00,5.4,5.4,5.06,5.07,54255200,5.1722,4.73085,4.569466666666666,5.410186506682319,5.41181822965635,5.240446883500034,37.0541908784492,-0.052560669716815944,1.5873015873016925,0.0,5.479094087282162,5.702774237385955,5.4565,5.210225762614045,0.13788764372695858,-6.972477064220181,774277600,203257099.2726127
